Median House Prices 3rd Quarter 2020,,,,,,,,Change %,Change %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBURB,Jul - Sep 19,Oct - Dec 19,Jan - Mar 20,Apr- Jun 20,Jul - Sep 20,No of sales ,No of Sales ,Jul - Sep 19,Apr - Jun 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH GEELONG,677300,691500,679000,610000,1065000,2,4,57.3,74.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH KINGSVILLE,915000,859000,975000,1146000,792000,1,15,-13.4,-30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH MELBOURNE,1528000,1720000,1550000,1337500,1650000,11,52,8.0,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH MORANG,621000,661000,661000,609000,650000,43,148,4.7,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH YARRA,2194000,1665500,2068800,1642500,1797500,18,56,-18.1,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPOTSWOOD,912500,1020000,1135000,906000,902500,4,19,-1.1,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRING GULLY,345000,382500,381000,405000,423000,14,27,22.6,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRINGVALE,759000,762000,813600,755000,765000,14,47,0.8,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRINGVALE SOUTH,685000,720000,712000,685000,730000,11,37,6.6,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST ALBANS,590000,630000,591500,590000,600000,40,149,1.7,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST ALBANS PARK,420000,432500,447500,450000,442000,9,36,5.2,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST ANDREWS BEACH,695000,937500,992500,1370000,1076300,6,11,54.9,-21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST ARNAUD,152500,195000,155000,145000,185500,11,31,21.6,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST HELENA,878500,1001000,990000,905000,1130000,1,16,28.6,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST KILDA,1467500,3017500,1771800,1315000,1162500,6,24,-20.8,-11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST KILDA EAST,1511000,1565000,1679500,1580000,1352600,8,26,-10.5,-14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST KILDA WEST,3100000,1737000,2450000,2630000,2550000,5,11,-17.7,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST LEONARDS,577500,572500,520000,562500,603300,22,74,4.5,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAWELL,185000,197000,220000,155000,222500,34,100,20.3,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRATFORD,336500,302500,318500,315000,335000,20,43,-0.4,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRATHDALE,467000,490000,521000,410000,495000,27,67,6.0,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRATHFIELDSAYE,495000,460000,542500,526000,510000,25,56,3.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRATHMERTON,277500,162500,162500,162500,195000,4,4,-29.7,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRATHMORE,1325000,1500000,1218000,1260000,1412500,10,47,6.6,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRATHTULLOH,540000,540000,470000,520000,527500,8,32,-2.3,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STUDFIELD,874000,920000,870000,830000,830000,0,6,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNBURY,520000,560000,575000,550000,547500,86,357,5.3,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNDERLAND BAY,335000,412000,510800,390000,472000,5,10,40.9,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNSET STRIP,460000,475800,510500,410000,489500,2,13,6.4,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNSHINE,625000,770000,819500,700000,662000,7,46,5.9,-5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNSHINE NORTH,610000,677500,655000,647000,650000,15,43,6.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNSHINE WEST,645000,655000,656300,647500,600000,20,70,-7.0,-7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURF BEACH,617500,496000,492000,462500,453800,6,17,-26.5,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURREY HILLS,1931000,1960000,1898000,1650000,1875000,12,69,-2.9,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWAN HILL,277500,292500,315000,290000,312500,42,112,12.6,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYDENHAM,565000,599500,600500,635000,653500,12,41,15.7,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYNDAL,1605000,1579500,1570000,1652000,1600000,12,34,-0.3,-3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALLANGATTA,285000,260000,325000,165000,255000,5,11,-10.5,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALLYGAROOPNA,237000,269000,173000,285000,285000,0,2,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARNEIT,561000,560000,554000,576500,548000,70,354,-2.3,-4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATURA,282000,272500,275000,301600,330000,21,62,17.0,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAWONGA SOUTH,383500,382500,375000,380000,491000,11,19,28.0,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAYLORS HILL,693500,734500,735000,705000,805000,19,65,16.1,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAYLORS LAKES,759500,765000,770000,722500,800000,9,43,5.3,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECOMA,650000,797500,727500,667500,706000,3,15,8.6,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEMPLESTOWE,1400000,1320000,1417500,1400000,1355000,27,73,-3.2,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEMPLESTOWE LOWER,1102500,1200000,1250000,1144300,1138500,26,87,3.3,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERANG,200000,172000,203500,268000,282500,12,30,41.3,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE BASIN,752600,695000,778000,833000,731300,12,32,-2.8,-12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE HONEYSUCKLES,215000,350000,285000,465000,322500,2,10,50.0,-30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE PATCH,655500,990000,990000,680000,635000,1,6,-3.1,-6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THOMASTOWN,600000,615000,632000,577000,628800,16,80,4.8,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THOMSON (GREATER GEELONG),387500,425000,419000,420000,437800,8,19,13.0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THORNBURY,1115000,1250000,1230000,1120000,1215000,26,83,9.0,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THORNHILL PARK,535000,552500,435000,570000,580000,9,28,8.4,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMBOON,277500,260000,405000,340000,412500,4,12,48.6,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TONGALA,229000,247500,212500,210000,225000,6,16,-1.7,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOONGABBIE,270000,280300,210000,299000,359000,5,8,33.0,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOORA,275000,310000,222500,230000,277500,4,8,0.9,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOORADIN,785000,745000,665000,760000,776300,2,14,-1.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOORAK,4750000,5000000,4500000,5550000,5750000,16,45,21.1,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOOTGAROOK,617500,582000,630500,587500,620000,19,59,0.4,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORQUAY,765000,845000,815000,825000,850000,76,189,11.1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAFALGAR,407500,382500,410000,470000,435000,25,53,6.7,-7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRARALGON,325000,340800,319500,333800,350300,158,412,7.8,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRARALGON EAST,577500,430000,454000,500000,540000,5,12,-6.5,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAVANCORE,1560000,1250000,1250000,1685000,1055000,1,4,-32.4,-37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRENTHAM,622000,615000,592500,585000,647500,8,27,4.1,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUGANINA,590000,570800,587000,590000,570000,56,238,-3.4,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TULLAMARINE,618000,619000,675000,597600,620500,4,18,0.4,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYABB,615000,635000,577000,560000,620000,4,16,0.8,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPPER FERNTREE GULLY,602500,708000,691500,965000,725000,9,18,20.3,-24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPWEY,742000,718000,750000,700500,774500,12,49,4.4,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VENTNOR,487500,530000,535000,910000,677500,4,21,39.0,-25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VENUS BAY,335000,342500,350000,359000,361800,38,87,8.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERMONT,989500,1016500,1122500,1068000,975000,21,60,-1.5,-8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERMONT SOUTH,1170000,1260000,1210000,1085000,1017500,8,51,-13.0,-6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIEWBANK,920000,998000,985000,915000,980000,9,33,6.5,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIOLET TOWN,342500,306400,279000,348000,328500,2,9,-4.1,-5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAHGUNYAH,314000,350000,395000,395000,264000,6,10,-15.9,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALLAN,489900,485000,492500,510000,536000,37,90,9.4,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALLAN EAST,445000,462000,470000,457000,504300,8,47,13.3,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WANDANA HEIGHTS,690000,878000,980000,697500,719500,10,17,4.3,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WANDIN NORTH,621000,630000,721300,715000,587500,4,11,-5.4,-17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WANGARATTA,299500,343000,330100,372000,340000,95,266,13.5,-8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WANTIRNA,951000,877500,930000,850000,885000,17,59,-6.9,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WANTIRNA SOUTH,1012500,1050000,1088000,938800,939000,22,81,-7.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WARBURTON,495000,500000,552500,530000,494000,3,17,-0.2,-6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WARNEET,505000,606000,625000,566000,600000,5,13,18.8,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WARRACKNABEAL,115000,120000,142000,136000,136000,11,32,18.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WARRAGUL,460000,473000,485000,487500,477900,81,257,3.9,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WARRANDYTE,878000,1050000,977500,1009000,1075000,7,33,22.4,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WARRANWOOD,997000,893300,940000,865000,991000,9,25,-0.6,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WARRNAMBOOL,370000,387000,393800,397500,415500,132,348,12.3,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATERWAYS,1105000,1270000,1422400,1282000,1282000,0,13,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATSONIA,753500,791000,826000,761300,782500,14,47,3.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATSONIA NORTH,706800,764000,776800,800000,868000,3,21,22.8,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATTLE GLEN,815000,755000,765000,822900,876000,3,13,7.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAURN PONDS,685000,650000,567500,717500,645000,12,32,-5.8,-10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEDDERBURN,167500,135300,135300,125000,137500,8,11,-17.9,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEIR VIEWS,486500,430000,472500,493000,470000,15,43,-3.4,-4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WENDOUREE,331900,350000,357500,350000,360000,41,136,8.5,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WENDOUREE WEST,257500,282500,300000,258000,310000,4,17,20.4,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WERRIBEE,525000,510000,515000,510000,518000,82,354,-1.3,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WERRIBEE SOUTH,650000,760000,590000,600000,800000,3,11,23.1,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST FOOTSCRAY,830000,868000,840000,770000,886500,23,77,6.8,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST MELBOURNE,1385000,1640500,1350000,1340000,976000,5,12,-29.5,-27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST WODONGA,346500,340000,392500,372500,359000,63,153,3.6,-3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTALL,748000,761300,739000,737000,772000,7,27,3.2,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTGARTH,1765000,1472500,1441000,1490000,1600000,5,14,-9.3,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTMEADOWS,634400,622500,560000,570000,620000,13,45,-2.3,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHEELERS HILL,980000,1138000,1138500,1122500,1203000,26,98,22.8,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHITE HILLS,330000,360000,318500,425000,338500,14,43,2.6,-20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHITTINGTON,372000,385000,412000,361300,420000,9,28,12.9,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHITTLESEA,569000,601300,604500,573500,628000,9,43,10.4,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIAMS LANDING,656000,700000,687500,671300,670000,18,62,2.1,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIAMSTOWN,1350000,1405000,1510000,1324000,1386500,16,76,2.7,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIAMSTOWN NORTH,851000,1520000,1290000,890000,880000,4,11,3.4,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIMBLEDON HEIGHTS,388300,447500,405000,465000,420000,6,15,8.2,-9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINCHELSEA,376500,438500,471300,455000,492500,10,21,30.8,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINDSOR,1350000,1670000,1465000,1180000,1250000,6,34,-7.4,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINTER VALLEY,410000,440000,485000,457500,455000,19,38,11.0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WODONGA,320000,353500,359000,340000,345000,88,273,7.8,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOLLERT,585000,577000,599500,580000,570000,53,262,-2.6,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WONGA PARK,888000,1685000,1038000,890000,910000,4,13,2.5,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WONTHAGGI,369000,401500,385000,367500,371500,24,69,0.7,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOODEND,693500,717500,661300,705000,796000,19,53,14.8,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOOLAMAI WATERS,447500,512500,575000,460000,565800,14,43,26.4,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOORI YALLOCK,450000,570000,552200,525000,570000,11,40,26.7,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WURRUK,245000,245000,180000,235000,260000,5,9,6.1,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY YUNG,360000,311000,315000,380000,387500,7,21,7.6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WYCHEPROOF,124500,100000,132500,115000,101500,4,12,-18.5,-11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WYNDHAM VALE,465000,485000,470000,473500,482500,42,173,3.8,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YALLAMBIE,861000,878000,857000,830000,813500,4,16,-5.5,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YALLOURN NORTH,172500,213000,150000,200500,212500,10,21,23.2,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARRA GLEN,650000,703000,755500,640000,723000,5,20,11.2,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARRA JUNCTION,600000,580000,540000,602500,605000,6,30,0.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARRAGON,425000,430000,425000,375000,395000,7,19,-7.1,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARRAM,224000,249800,259000,247500,241000,11,37,7.6,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARRAVILLE,1010000,986000,952500,1050000,960100,26,106,-4.9,-8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARRAWONGA,372500,389800,398000,452500,482500,42,107,29.5,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEA,470500,420000,395000,421300,495000,6,21,5.2,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YINNAR,300000,223000,295000,374000,365000,1,9,21.7,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
